№;Наименование предприятия;Сокращенное наименование предприятия;Адрес;Обслуживаемый район;Название парка;Руководитель предприятия;Телефон;Факс;Электронная почта;ИНН;ОГРН;Сайт;Сведения о деятельности;Координаты
12;«Калининское садово-парковое хозяйство»;"АО ""Калининское СПХ""";195427, Санкт-Петербург, улица Академика Байкова, дом 2;Калининский;;Ядыкина Надежда Михайловна;556-85-77;556-85-77;kalininskoe@yandex.ru;7804347365;5,06785E+12;www.kalininskoesph.spb.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;60.030335,30.367
13; «Пушкинское»;"АО ""СПП ""Пушкинское""";196608, Санкт-Петербург, г. Пушкин, Автомобильная улица, дом 1;Пушкинский;;Шабнов Александр Михайлович;476-69-72;466-65-13;guspp-pushkin@mail.ru;7820321438;1,10785E+12;www.pushkinskoe-spp.org;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.72563,30.442117
14;«Красносельское»;СПБ ГУСПП «Красносельское»;198259, Санкт-Петербург, проспект Ветеранов, дом 156;Красносельский;;Мухтулов Александр Владимирович;730-83-44;730-83-44;Sphkrasnosel@mail.ru;7807007409;1,0278E+12;Www.sppkrasnosel.spb.ru;Содержание и ремонт объектов зеленых насаждений общего пользования городского значения и уличного озеленения;59.834555,30.150345
15;«Флора»;АО «СПП «Флора»;198504 Санкт-Петербург, город Петергоф, Собственный проспект, дом 44;Петродворцовый;;Васендин Максим Владимирович;450-53-81;450-53-88;Flora155@mail.ru;7819000863;1,02781E+12;Www.spp-flora.ru;Содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.890938,29.856272
16;"""Приморский парк Победы""";"АО ""Приморский парк Победы""";197110, Санкт-Петербург, Крестовский проспект, дом 23, литера А;Петроградский;Приморский парк Победы;Борковец Максим Алексеевич;230-04-56;230-04-56;primorsky-park@mail.ru;7813464548;1,10785E+12;www.primparkpobedy.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.970344,30.24871
17; «Фрунзенское»;"АО ""СПХ ""Фрунзенское""";192241, Санкт-Петербург, Южное шоссе, дом 59;Фрунзенский;;Степанов Александр Александрович;268-20-40;268-20-40;sph_f@inbox.ru;7816390615;5,06785E+12;www.parkfrunz.spb.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.855774,30.400696
18; «Озеленитель»;"АО ""Озеленитель""";197706, Санкт-Петербург, г. Сестрорецк, Транспортная улица, дом 3;Кронштадтский;;Вороненко Зинаида Сергеевна;437-85-91;437-85-91;gup_ozelenitel@mail.ru;7843309067;1,09785E+12;www.oao-ozelenitel.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;60.084379,29.948852
19;«Нарвское»;АО «СПП «Нарвское»;Санкт-Петербург, округ Автово, Автово, улица Ивана Зубкова, дом 4;Кировский;;Бучинский Иван Александрович;784-73-35;784-73-35;Narvskoe@mail.ru;7805403679;5,06785E+12;Www.narvskoe.spb.ru;Содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.866499,30.254199
20;«Выборгское»;"АО ""СПП ""Выборгское""";194354, Санкт-Петербург, Северный проспект, дом 11;Выборгский;;Малик Татьяна Ивановна;511-22-18;510-25-62;oaosppvyb@yandex.ru;7802383470;1,07785E+12;www.sppvyborgskoe.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;60.030546,30.342207
21; «Центральное»;"АО ""СПП ""Центральное""";197198, Санкт-Петербург, улица Лизы Чайкиной, дом 4/12;Петроградский;;Харичева Анна Григорьевна;233-66-73;232-04-36;gupcentralnoe@mail.ru;7813407853;1,08985E+12;www.sppcentralnoe.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.956232,30.298809
22; «Центральное»;"АО ""СПП ""Центральное""";197198, Санкт-Петербург, улица Лизы Чайкиной, дом 4/12;Центральный;;Харичева Анна Григорьевна;233-66-73;232-04-36;gupcentralnoe@mail.ru;7813407853;1,08985E+12;www.sppcentralnoe.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;59.956232,30.298809
23; «Озеленитель»;"АО ""Озеленитель""";197706, Санкт-Петербург, г. Сестрорецк, Транспортная улица, дом 3;Курортный;;Вороненко Зинаида Сергеевна;437-85-91;437-85-91;gup_ozelenitel@mail.ru;7843309067;1,09785E+12;www.oao-ozelenitel.ru;содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения;60.084379,29.948852
