№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
4612,Автобус,Остановка,УЛ. АКАДЕМИКА ШИМАНСКОГО,УЛ. АКАДЕМИКА ШИМАНСКОГО,"улица Савушкина, улица Академика Шиманского",211,"59.9852550772274,30.2883415"
4613,Автобус,Остановка,КАРЕЛЬСКИЙ ПЕР,КАРЕЛЬСКИЙ ПЕР,"Савушкина ул., Карельский пер",211,"59.9857163173199,30.2947178"
4614,Автобус,Остановка,ПЕР. ТАЛАЛИХИНА,ПЕР. ТАЛАЛИХИНА []<,"проспект Добролюбова, переулок Талалихина","10, 191","59.9504932591463,30.2962952"
4615,Автобус,Остановка,ПЛОЩАДЬ АКАДЕМИКА ЛИХАЧЁВА,ПЛОЩАДЬ АКАДЕМИКА ЛИХАЧЁВА,"Мытнинская набережная, проспект Добролюбова","10, 191","59.9487728515506,30.30196"
4616,Автобус,Остановка,УЛ. КОЛЛОНТАЙ,УЛ. КОЛЛОНТАЙ,"улица Коллонтай, Дальневосточный проспект",191,"59.9124627265258,30.4403267"
4617,Автобус,ДС,"Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ., ПОСАДКИ И ВЫСАДКИ НЕТ","Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ., ПОСАДКИ И ВЫСАДКИ НЕТ","Водопадная ул., Ленинградская ул","331, 335, 389, 438, 438З","59.7523458706232,30.6115589"
4618,Автобус,Остановка,МЕЖЕВАЯ УЛ,МЕЖЕВАЯ УЛ,"Вознесенское шоссе, Межевой переулок","331, 335, 335А, 389, 438, 438З","59.757072962294,30.617979"
4619,Автобус,Остановка,МЕЖЕВАЯ УЛ,МЕЖЕВАЯ УЛ,"Вознесенское шоссе, Межевая улица","331, 335, 335А, 389, 438, 438З","59.756962877519,30.6175079"
4620,Автобус,Остановка,ПОНТОННАЯ УЛ,ПОНТОННАЯ УЛ,"Вознесенское шоссе, Понтонная улица","328, 331, 335, 335А, 438, 438З","59.7603581378326,30.6257801"
4621,Автобус,Остановка,ПОНТОННАЯ УЛ,ПОНТОННАЯ УЛ,"Вознесенское шоссе, Понтонная улица","328, 331, 335, 335А, 389, 438, 438З","59.7598834413385,30.6242161"
4622,Автобус,Остановка,ПЕРВОМАЙСКАЯ УЛ,ПЕРВОМАЙСКАЯ УЛ,"Вознесенское шоссе, Первомайская улица","328, 335, 335А, 438, 438З","59.7619025746689,30.6296558"
4623,Автобус,Остановка,ПЕРВОМАЙСКАЯ УЛ,ПЕРВОМАЙСКАЯ УЛ,"Вознесенское шоссе, Первомайская улица","328, 335, 335А, 438, 438З","59.7621708659921,30.6299114"
4624,Автобус,Остановка,"ОРУЖЕЙНАЯ УЛ., ПО ТРЕБОВАНИЮ","ОРУЖЕЙНАЯ УЛ., ПО ТРЕБОВАНИЮ","Вознесенское шоссе, Оружейная улица","328, 335, 335А, 438, 438З","59.7666420707551,30.6413975"
4625,Автобус,Остановка,"ОРУЖЕЙНАЯ УЛ., ПО ТРЕБОВАНИЮ","ОРУЖЕЙНАЯ УЛ., ПО ТРЕБОВАНИЮ","Вознесенское шоссе, Оружейная улица","328, 335, 335А, 438, 438З","59.7663187883351,30.6402664"
4626,Автобус,Остановка,"КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ"", ПО ТРЕБОВАНИЮ","КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ"", ПО ТРЕБОВАНИЮ",Вознесенское шоссе,"328, 335, 335А, 438, 438З","59.7697337306912,30.6491909"
4627,Автобус,Остановка,"КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ"", ПО ТРЕБОВАНИЮ","КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ"", ПО ТРЕБОВАНИЮ",Вознесенское шоссе,"328, 335, 335А, 438, 438З","59.7693141896236,30.6476746"
4628,Автобус,Остановка,"БАЛКАНСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","БАЛКАНСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","Первомайская улица, Балканская дорога",331,"59.7694930110512,30.6222649"
4629,Автобус,Остановка,"КИРПИЧНЫЙ ЗАВОД, ПО ТРЕБОВАНИЮ","КИРПИЧНЫЙ ЗАВОД, ПО ТРЕБОВАНИЮ",Первомайская улица,331,"59.7727288256356,30.6225739"
4630,Автобус,Остановка,"КИРПИЧНЫЙ ЗАВОД, ПО ТРЕБОВАНИЮ","КИРПИЧНЫЙ ЗАВОД, ПО ТРЕБОВАНИЮ",Первомайская улица,331,"59.7729145057992,30.6222477"
4631,Автобус,Остановка,"БАЛКАНСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","БАЛКАНСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","Первомайская улица, Балканская дорога",331,"59.7688912043581,30.6225529"
4632,Автобус,Остановка,"ПЕРВОМАЙСКАЯ УЛ., 29","ПЕРВОМАЙСКАЯ УЛ., 29",Первомайская улица,331,"59.7768651222876,30.6239319"
4633,Автобус,Остановка,"ПЕРВОМАЙСКАЯ УЛ., 29","ПЕРВОМАЙСКАЯ УЛ., 29",Первомайская улица,331,"59.777122979171,30.6241169"
4634,Автобус,Остановка,"ПОНТОННЫЙ, ВОЛХОВСТРОЕВСКАЯ УЛ","ПОНТОННЫЙ, ВОЛХОВСТРОЕВСКАЯ УЛ","Первомайская улица, Волховстроевская улица",331,"59.7810490338922,30.630619"
4635,Автобус,Остановка,"УЛ. ВЕРЫ СЛУЦКОЙ, УГОЛ БУЛЬВ. ТРУДЯЩИХСЯ","УЛ. ВЕРЫ СЛУЦКОЙ, УГОЛ БУЛЬВ. ТРУДЯЩИХСЯ","бульвар Трудящихся, улица Веры Слуцкой","326, 332, 335А, 336, 364, 366, 386, 392","59.7355823563337,30.5781803"
4636,Автобус,Остановка,"БУЛЬВАР ТРУДЯЩИХСЯ,15","БУЛЬВАР ТРУДЯЩИХСЯ,15","бульвар Трудящихся, улица Металлургов","326, 332, 335А, 336, 364, 366, 386","59.737348238587,30.5697479"
4637,Автобус,Остановка,"БУЛЬВАР ТРУДЯЩИХСЯ,15","БУЛЬВАР ТРУДЯЩИХСЯ,15","бульвар Трудящихся, улица Металлургов","326, 332, 335А, 336, 364, 369, 386","59.7369592705841,30.5696735"
4638,Автобус,Остановка,"ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ","ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ","бульвар Трудящихся, Пролетарская улица","326, 332, 335А, 336, 364, 369, 386","59.7414682677913,30.5689564"
4639,Автобус,Остановка,"ЛАГЕРНОЕ ШОССЕ, 1","ЛАГЕРНОЕ ШОССЕ, 1","Лагерное шоссе, Южная улица",336,"59.7762325049619,30.6555557"
4640,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКОЕ ШОССЕ, 54","ШЛИССЕЛЬБУРГСКОЕ ШОССЕ, 54","Шлиссельбургское шоссе, Садовая улица",336,"59.7854317805294,30.6580448"
4641,Автобус,Остановка,УЛ. СУДОСТРОИТЕЛЕЙ,УЛ. СУДОСТРОИТЕЛЕЙ,"улица Судостроителей, Шлиссельбургское шоссе",336,"59.7884976422332,30.6490974"
4642,Автобус,Остановка,"УЛ. СУДОСТРОИТЕЛЕЙ, 12","УЛ. СУДОСТРОИТЕЛЕЙ, 12","улица Судостроителей, Новый переулок",336,"59.7860848464338,30.6438084"
4643,Автобус,Остановка,"УЛ. СУДОСТРОИТЕЛЕЙ, 3","УЛ. СУДОСТРОИТЕЛЕЙ, 3","улица Судостроителей, Заводская улица",336,"59.78284001403,30.6363316"
4644,Автобус,Остановка,"УЛ. ВЕРЫ СЛУЦКОЙ, УГОЛ БУЛЬВ. ТРУДЯЩИХСЯ","УЛ. ВЕРЫ СЛУЦКОЙ, УГОЛ БУЛЬВ. ТРУДЯЩИХСЯ","улица Веры Слуцкой, бульвар Трудящихся","196, 325, 327, 330, 332, 335А, 336, 337, 337А, 364, 374, 390, 392, 396А, 475, 475А, 540","59.7350935381356,30.5787811"
4645,Автобус,Остановка,"УЛ. МАШИНОСТРОИТЕЛЕЙ,6","УЛ. МАШИНОСТРОИТЕЛЕЙ, 6",улица Машиностроителей,392,"59.7337165470439,30.5716343"
4646,Автобус,Остановка,"ЗАВОДСКОЙ ПР.,22","ЗАВОДСКОЙ ПР.,22","Заводской проспект, улица Машиностроителей",392,"59.7322224475625,30.5671291"
4647,Автобус,Остановка,"ЗАВОДСКОЙ ПР., 22","ЗАВОДСКОЙ ПР., 22","Заводской проспект, улица Машиностроителей",392,"59.7320709683116,30.5667324"
4648,Автобус,Остановка,"ЗАВОДСКОЙ ПР.,16","ЗАВОДСКОЙ ПР.,16",Заводской проспект,392,"59.7347389683508,30.5620975"
4649,Автобус,Остановка,"ЗАВОДСКОЙ ПР., 16","ЗАВОДСКОЙ ПР., 16",Заводской проспект,392,"59.7342880052309,30.5623341"
4650,Автобус,Остановка,ДЕТСКАЯ БОЛЬНИЦА № 22,ДЕТСКАЯ БОЛЬНИЦА № 22,"Заводской проспект, улица Металлургов","325, 392","59.7384944631087,30.5597992"
4651,Автобус,Остановка,ДЕТСКАЯ БОЛЬНИЦА № 22,ДЕТСКАЯ БОЛЬНИЦА № 22,"Заводской проспект, улица Металлургов","325, 392","59.7381055084422,30.5593872"
4652,Автобус,Остановка,"САПЕРНАЯ УЛ., УГ. КАДЕТСКОГО БУЛЬВАРА","САПЕРНАЯ УЛ., УГ. КАДЕТСКОГО БУЛЬВАРА","Кадетский бул., ул. Саперная","186, 273, 299, 342, 373, 376, 382","59.7035737840414,30.4070187"
4653,Автобус,Остановка,УЛ. МАШИНОСТРОИТЕЛЕЙ,УЛ. МАШИНОСТРОИТЕЛЕЙ,"улица Машиностроителей, Заводской проспект","325, 392","59.7316991526956,30.5710258"
4654,Автобус,Остановка,ГУММОЛОСАРОВСКАЯ УЛ,ГУММОЛОСАРОВСКАЯ УЛ,"Мичурина ул., Гуммулосаровская ул","339, 545","59.68312448997,30.4333801"
4655,Автобус,Остановка,МАЛОЕ КАРЛИНО,МАЛОЕ КАРЛИНО,Красносельское шоссе,"273, 301","59.7221716889327,30.2655621"
4656,Автобус,Остановка,"СНТ ""НАГОРНЫЙ""","СНТ ""НАГОРНЫЙ""",Красносельское шоссе,"273, 301","59.724441034772,30.2550602"
4657,Автобус,Остановка,"8 КМ, ПО ТРЕБОВАНИЮ","8 КМ, ПО ТРЕБОВАНИЮ",Красносельское шоссе,"273, 301","59.7276846578585,30.2291584"
4658,Автобус,Остановка,7 КМ,7 КМ,Красносельское шоссе,"273, 301","59.7261937321716,30.1976948"
4659,Автобус,Остановка,"САДОВОДСТВО ""ЗДОРОВЬЕ""","САДОВОДСТВО ""ЗДОРОВЬЕ""",Красносельское шоссе,"273, 301","59.7268514004248,30.1789627"
4660,Автобус,Остановка,5 КМ,5 КМ,Красносельское шоссе,"273, 301","59.7271888377546,30.168539"
4661,Автобус,Остановка,4 КМ,4 КМ,Красносельское шоссе,"273, 301","59.7294716151611,30.1516209"
4662,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273, 301","59.731950472963,30.1325378"
4663,Автобус,ДС,"А.С. ""КРАСНОЕ СЕЛО"", ПОСАДКИ И ВЫСАДКИ НЕТ","А.С. ""КРАСНОЕ СЕЛО"", ПОСАДКИ И ВЫСАДКИ НЕТ","1-го Мая ул., Красносельское шоссе","144, 146, 149, 149А, 273, 442, 443, 446, 454, 458, 458Б, 477, 547","59.731086336454,30.1029358"
4664,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273, 301","59.7316337402614,30.1358166"
4665,Автобус,ДС,"Г. КОЛПИНО, КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ, ПОСАДКИ И ВЫСАДКИ НЕТ","Г. КОЛПИНО, КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ, ПОСАДКИ И ВЫСАДКИ НЕТ",,"328, 364, 367, 368","59.7583767512557,30.549654"
4666,Автобус,Остановка,4 КМ,4 КМ,"Красносельское шоссе, 11-я линия","273, 301","59.7277363053633,30.1581097"
4667,Автобус,Остановка,5 КМ,5 КМ,Красносельское шоссе,"273, 301","59.726916822214,30.1707363"
4668,Автобус,Остановка,"САДОВОДСТВО ""ЗДОРОВЬЕ""","САДОВОДСТВО ""ЗДОРОВЬЕ""",Красносельское шоссе,"273, 301","59.7266689073892,30.1795597"
4669,Автобус,Остановка,7 КМ,7 КМ,Красносельское шоссе,"273, 301","59.7262109487829,30.2032948"
4670,Автобус,Остановка,"8 КМ, ПО ТРЕБОВАНИЮ","8 КМ, ПО ТРЕБОВАНИЮ",Красносельское шоссе,"273, 301","59.7274505215032,30.2400208"
4671,Автобус,Остановка,"СНТ ""НАГОРНЫЙ""","СНТ ""НАГОРНЫЙ""",Красносельское шоссе,"273, 301","59.723745439816,30.2565403"
4672,Автобус,Остановка,МАЛОЕ КАРЛИНО,МАЛОЕ КАРЛИНО,Красносельское шоссе,"273, 301","59.7212521984612,30.2680511"
4673,Автобус,Остановка,"ПАВЛОВСКАЯ УЛ., 82","ПАВЛОВСКАЯ УЛ., 82","Павловская улица, проспект Ленина","366, 368, 392","59.7484749372498,30.5675144"
4674,Автобус,Остановка,"ПАВЛОВСКАЯ УЛ., 82","ПАВЛОВСКАЯ УЛ., 82","Павловская улица, проспект Ленина","368, 369, 392","59.7486022550795,30.567194"
4675,Автобус,Остановка,УЛ. БРАТЬЕВ РАДЧЕНКО,УЛ. БРАТЬЕВ РАДЧЕНКО,"Павловская улица, улица Братьев Радченко","366, 368, 392","59.7480757755044,30.580267"
4676,Автобус,Остановка,УЛ. БРАТЬЕВ РАДЧЕНКО,УЛ. БРАТЬЕВ РАДЧЕНКО,"Павловская улица, улица Братьев Радченко","368, 369, 392","59.7482340643533,30.5792294"
4677,Автобус,Остановка,"ПАВЛОВСКАЯ УЛ., УГ. УЛ. КОММУНЫ","ПАВЛОВСКАЯ УЛ., УГ. УЛ. КОММУНЫ","Павловская улица, улица Вавилова","366, 368, 392","59.7472292615426,30.5885315"
4678,Автобус,Остановка,МОСКОВСКАЯ УЛ,МОСКОВСКАЯ УЛ,"Конюшенная улица, Малая улица","273, 373, 380, 381","59.7171021236591,30.4101429"
4679,Автобус,Остановка,"ПАВЛОВСКАЯ УЛ., УГ. УЛ. КОММУНЫ","ПАВЛОВСКАЯ УЛ., УГ. УЛ. КОММУНЫ","Павловская улица, улица Карла Маркса","368, 369, 392","59.7474185246554,30.587965"
4680,Автобус,Остановка,ПЛ. КОММУНЫ,ПЛ. КОММУНЫ,"площадь Коммуны, улица Володарского","366, 368, 392","59.7454535772265,30.5944538"
4681,Автобус,Остановка,ПЛ. КОММУНЫ,ПЛ. КОММУНЫ,"площадь Коммуны, улица Коммуны","368, 369, 392","59.7461074254491,30.5931416"
4682,Автобус,Остановка,"АХМАТОВСКАЯ УЛ., 15","АХМАТОВСКАЯ УЛ., 15","Ахматовская улица, Железнодорожная улица","187, 273, 370, 371, 373, 377, 378, 380, 382, 383, 384, 545","59.7273334527109,30.4230251"
4683,Автобус,Остановка,"ТВЕРСКАЯ УЛ., УГОЛ УЛ. ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ., УГОЛ УЛ. ИЖОРСКОГО БАТАЛЬОНА","Тверская улица, улица Ижорского Батальона","324, 325, 328, 330, 364, 367, 368, 386, 392, 540, 544","59.7351348469922,30.6112041"
4684,Автобус,Остановка,"ТВЕРСКАЯ УЛ., УГОЛ УЛ. ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ., УГОЛ УЛ. ИЖОРСКОГО БАТАЛЬОНА","Тверская улица, улица Ижорского Батальона","192, 324, 326, 328, 330, 367, 392, 540, 544","59.7358336474146,30.6113071"
4685,Автобус,Остановка,ОБОРОННАЯ УЛ,ОБОРОННАЯ УЛ,"Тверская улица, Оборонная улица","324, 328, 367, 368, 386, 392, 540, 544","59.7311792924492,30.611805"
4686,Автобус,Остановка,ОБОРОННАЯ УЛ,ОБОРОННАЯ УЛ,"Тверская улица, Оборонная улица","324, 325, 330, 364, 367, 392, 540, 544","59.7315924270791,30.6120987"
4687,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА","ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА",,"324, 367, 392, 544","59.7279945416907,30.6118355"
4688,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА","ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА",,"324, 367, 392, 544","59.7279945416907,30.6123314"
4689,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, 7","ПОСЁЛОК ТЕЛЬМАНА, 7",,"324, 367, 392, 540, 544","59.7240278117898,30.6100121"
4690,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, 7","ПОСЁЛОК ТЕЛЬМАНА, 7",,"324, 367, 392, 540, 544","59.7239038438997,30.6103783"
4691,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, АДМИНИСТРАЦИЯ","ПОСЁЛОК ТЕЛЬМАНА, АДМИНИСТРАЦИЯ",,367,"59.7210042416478,30.6065903"
4692,Автобус,Остановка,"БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ","БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ","Берёзовая улица, улица Толмачёва","252, 299, 339, 370, 375А, 379, 383, 493, 545","59.6858998187864,30.4320583"
4693,Автобус,Остановка,"АНИСИМОВА, 4","АНИСИМОВА, 4","улица Анисимова, Заводской проспект","328, 368, 386","59.7328008165719,30.6065254"
4694,Автобус,Остановка,ШКОЛА № 464,ШКОЛА № 464,"Мичурина ул., Мичурина пер","339, 545","59.6809523331278,30.4297867"
4695,Автобус,Остановка,ОКТЯБРЬСКИЙ Б-Р,ОКТЯБРЬСКИЙ Б-Р,"Оранжерейная улица, Магазейная улица",370,"59.7223473190693,30.4117661"
4696,Автобус,Остановка,ОБЪЕДИНЕННАЯ БОЛЬНИЦА,ОБЪЕДИНЕННАЯ БОЛЬНИЦА,Мичурина ул,"339, 545","59.6773765873261,30.4255428"
4697,Автобус,Остановка,"ПАВЛОВСК, ГАЛАНТЕРЕЙНАЯ ФАБРИКА","ПАВЛОВСК, ГАЛАНТЕРЕЙНАЯ ФАБРИКА",Мичурина ул,"339, 545","59.6751212920293,30.4236126"
4698,Автобус,Остановка,САПЕРНАЯ УЛ,САПЕРНАЯ УЛ,"Павловское ш., Саперная ул","370, 545","59.7041285293596,30.4187298"
4699,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ МОСТ,ЖЕЛЕЗНОДОРОЖНЫЙ МОСТ,,"339, 545","59.6725382062266,30.4209175"
4700,Автобус,Остановка,"ПЯЗЕЛЕВО, ГОРНАЯ УЛ","ПЯЗЕЛЕВО, ГОРНАЯ УЛ",,"339, 545","59.6676922279058,30.4194431"
4701,Автобус,Остановка,"ПАВЛОВСКОЕ ШОССЕ, 67","ПАВЛОВСКОЕ ШОССЕ, 67","Павловское ш., Кедринская ул","370, 545","59.6990252148855,30.4240532"
4702,Автобус,Остановка,"ПАВЛОВСКОЕ ШОССЕ,93","ПАВЛОВСКОЕ ШОССЕ,93","Павловское ш., Парковая ул","252, 299, 370, 545","59.6961337955258,30.4271679"
4703,Автобус,Остановка,"Г. ПУШКИН, ГЛАВНАЯ УЛ","Г. ПУШКИН, ГЛАВНАЯ УЛ","Главная ул., Павловская ул","252, 299, 370, 545","59.6944208822684,30.4306679"
4704,Автобус,Остановка,ДОРОГА В АНТРОПШИНО,ДОРОГА В АНТРОПШИНО,,"339, 545","59.6618450796341,30.4212055"
4705,Автобус,Остановка,ПОС. ДИНАМО,ПОС. ДИНАМО,,"339, 545","59.6528257085572,30.406599"
4706,Автобус,Остановка,ПЕСЧАНЫЙ ПЕР,ПЕСЧАНЫЙ ПЕР,"Госпитальная улица, Песчаный переулок","252, 299, 339, 370, 375А, 383, 493","59.6837864526285,30.4420853"
4707,Автобус,Остановка,ДВОРЕЦ,ДВОРЕЦ,"Садовая улица, Звериницкая улица","252, 299, 370, 375А, 383, 493","59.6846414683716,30.4546661"
4708,Автобус,Остановка,ПЯТЬ УГЛОВ,ПЯТЬ УГЛОВ,"Звериницкая улица, улица Луначарского","252, 370, 375А, 383","59.68369336492,30.4585533"
4709,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ,2-Я КРАСНОФЛОТСКАЯ УЛ,"Звериницкая улица, 1-я Краснофлотская улица","252, 370, 375А, 383","59.682003950454,30.4637718"
4710,Автобус,Остановка,"Г. ПАВЛОВСК, ЗВЕРИНИЦКАЯ УЛ","Г. ПАВЛОВСК, ЗВЕРИНИЦКАЯ УЛ","Пограничная улица, Пограничная Фёдоровская дорога","252, 370, 375А, 383","59.6789214114975,30.4734898"
4711,Автобус,Остановка,ТВЕРСКАЯ УЛ,ТВЕРСКАЯ УЛ,"улица Ремизова, Тверская улица","364, 369, 386","59.7411447416816,30.611002"
4712,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ,2-Я КРАСНОФЛОТСКАЯ УЛ,"Звериницкая улица, 1-я Краснофлотская улица","252, 370, 375А, 383","59.6819246493144,30.4643784"
4713,Автобус,Остановка,ПЯТЬ УГЛОВ,ПЯТЬ УГЛОВ,"ул. Фридриха Энгельса, ул. Красного Курсанта","252, 370, 375А, 383","59.6839519412495,30.4584103"
4714,Автобус,Остановка,ДВОРЕЦ,ДВОРЕЦ,"Садовая улица, Звериницкая улица","252, 299, 370, 375А, 383, 493","59.6847517913941,30.4546261"
4715,Автобус,Остановка,ПАВЛОВСКОЕ ШОССЕ 67,ПАВЛОВСКОЕ ШОССЕ 67,"Павловское ш., Кедринская ул","370, 545","59.6990803527571,30.4243679"
4716,Автобус,Остановка,САПЕРНАЯ УЛ,САПЕРНАЯ УЛ,"Павловское шоссе, переулок Белозёрки","370, 545","59.7028949837855,30.4204941"
4717,Автобус,Остановка,АРТИЛЛЕРИЙСКАЯ УЛ,АРТИЛЛЕРИЙСКАЯ УЛ,"Павловское ш., Артиллерийская ул","370, 545","59.7078082220763,30.4157715"
4718,Автобус,Остановка,"ОРАНЖЕРЕЙНАЯ УЛ., УГ. ЛЕНИНГРАДСКОЙ УЛ","ОРАНЖЕРЕЙНАЯ УЛ., УГ. ЛЕНИНГРАДСКОЙ УЛ","Ленинградская улица, Оранжерейная улица","188, 236, 370, 371, 376, 377, 378, 381, 383, 385, 545","59.7261971754946,30.4188595"
