Район,Наименование учреждения,Сокращенное наименование,Адрес,Руководитель,Телефон,Наличие ясельных групп,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 30 Петроградского района Санкт-Петербурга,ГБДОУ № 30 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Профессора Попова улица, дом 12, литер В",Рубис Наталья Юрьевна,+7(812)234-28-44,Есть,+7(812)234-28-44,Rubis.n@mail.ru,Аптекарский остров,7813126235,1027806879253,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №32 Петроградского района Санкт-Петербурга,ГБДОУ № 32 Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, Большая Монетная улица, дом 24, литер А",Пичкова Татьяна Евгеньевна,+7(812)232-44-83,Есть,+7(812)232-44-83,Pichkova_t@mail.ru,Посадский,7813126588,1027806882949,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №36 Петроградского района Санкт-Петербурга,ГБДОУ № 36 Петроградского района Санкт-Петербурга,"197136, Санкт-Петербург, Ленина улица, дом 20, литер А",Воробьева Ксения Александровна,+7(812)233-19-12,Есть,+7(812)233-19-12,36petrograd@mail.ru,Округ Петровский,7813126299,1027806880243,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №38 комбинированного вида Петроградского района Санкт-Петербурга,ГБДОУ № 38 комбинированного вида Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, Татарский переулок, дом 8, литер А",Лебедева Марина Валентиновна,+7(812)246-21-98,Нет,+7(812)246-21-98,Ds38petr@mail.ru,Введенский,7813125094,1027806887679,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 39 Петроградского района Санкт-Петербурга,ГБДОУ № 39 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Ординарная улица, дом 19, литер А",Никитина Лариса Анатольевна,+7(812)346-21-26,Есть,+7(812)346-21-26,Crossworlds2007@rambler.ru,Аптекарский остров,7813126757,1027806880221,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №4 компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ № 4 компенсирующего вида Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, Лизы Чайкиной улица, дом 14, литер А",Булохова Наталия Владимировна,+7(812)232-47-75,Есть,+7(812)232-47-75,Bulohova.dc4@yandex.ru,Введенский,7813125626,1027806879352,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 43 Петроградского района Санкт-Петербурга,ГБДОУ № 43 Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, Большая Монетная улица, дом 8, литер А",Клементьева Оксана Викторовна,+7(812)241-37-84,Есть,+7(812)241-37-84,Detskijjsad43@rambler.ru,Кронверкское,7813126147,1027806881882,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 Петроградского района Санкт-Петербурга,ГБДОУ № 45 Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, Большой проспект Петроградской стороны, дом 9/1, литер А",Белова Ольга Николаевна,+7(812)232-27-68,Есть,+7(812)232-27-68,Detsad45-1@mail.ru,Введенский,7813125400,1027806880925,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №50 комбинированного вида Петроградского района Санкт-Петербурга,ГБДОУ № 50 комбинированного вида Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Литераторов улица, дом 19, литер А",Любезнова Галина Михайловна,+7(812)499-47-23,Есть,+7(812)499-47-23,Gdou50@mail.ru,Аптекарский остров,7813125249,1027806880111,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №51 Петроградского района Санкт-Петербурга,ГБДОУ № 51 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Чапыгина улица, дом 7, литер В",Олисова Татьяна Евгеньевна,+7(812)234-32-46,Есть,+7(812)234-90-38,Gbdou51spb@mail.ru,Аптекарский остров,7813125129,1027806881596,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №58 компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ № 58 компенсирующего вида Петроградского района Санкт-Петербурга,"197136, Санкт-Петербург, Бармалеева улица, дом 13, литер А",Семёнова Людмила Юрьевна,+7(812)232-71-96,Нет,+7(812)232-71-96,Det.sad-58@mail.ru,Аптекарский остров,7813126676,1027806880353,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 63 компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ № 63 компенсирующего вида Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Большая Зеленина улица, дом 27, литер А",Широбокова Юлия Анатольевна,+7(812)235-71-96,Нет,+7(812)235-71-96,Tamara.DC63@yandex.ru,Чкаловское,7813126637,1027806882476,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 64 Петроградского района Санкт-Петербурга,ГБДОУ № 64 Петроградского района Санкт-Петербурга,"197136, Санкт-Петербург, Бармалеева улица, дом 29, литер А",Леметти Любовь Оттовна,+7(812)235-05-94,Есть,+7(812)235-05-94,Ds64petr@mail.ru,Аптекарский остров,7813126193,1027806876877,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №69 Петроградского района Санкт-Петербурга,ГБДОУ № 69 Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Левашовский проспект, дом 16, литер А",Подгайская Ирина Федоровна,+7(812)235-67-41,Нет,+7(812)235-67-41,Irina.podgayskaya@gmail.com,Чкаловское,7813126108,1027806887349,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 70 комбинированного вида Петроградского района Санкт-Петербурга,ГБДОУ № 70 комбинированного вида Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Грота улица, дом 2",Жигалова Алла Левадиевна,+7(812)234-19-33,Есть,+7(812)234-19-33,Gbdou_70@mail.ru,Чкаловское,7813125577,1027806887195,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 77 комбинированного вида Петроградского района Санкт-Петербурга,ГБДОУ № 77 комбинированного вида Петроградского района Санкт-Петербурга,"г.Санкт-Петербург, Петровский проспект, дом 10, литера А",Позднякова Эмма Валентиновна,+7(812)246-24-50,Есть,+7(812)246-24-50,Detsad77pr@mail.ru,Округ Петровский,7813126066,1027806873808,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №78 Петроградского района Санкт-Петербурга,ГБДОУ № 78 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Чапыгина улица, дом 5, литер Д",Корсакова Наталья Павловна,+7(812)234-37-06,Есть,+7(812)234-37-06,Det_sad78@mail.ru,Аптекарский остров,7813125104,1027806880420,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №82 Петроградского района Санкт-Петербурга,ГБДОУ № 82 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Аптекарский пр, дом  18, литер А помещение 827",Новожилова Татьяна Германовна,+7(812)677-73-20,Есть,+7(812)677-73-20,Gbdou_82@mail.ru,Введенский,7813126010,1027806881530,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №83 компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ № 83 компенсирующего вида Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Большая Разночинная улица, дом 25, литер А",Кривеня Нина Анатольевна,+7(812)235-54-58,Есть,+7(812)235-54-58,Ds83kom@mail.ru,Чкаловское,7813126027,1027806881365,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №85 Петроградского района Санкт-Петербурга,ГБДОУ № 85 Петроградского района Санкт-Петербурга,"197101, Санкт-Петербург, Малая Пушкарская улица, дом 20/4, литер А",Сясь Ирина Юрьевна,+7(812)232-67-41,Есть,+7(812)232-67-41,Dspetr85@yandex.ru,Кронверкское,7813124968,1027806881321,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №89 Петроградского района Санкт-Петербурга,ГБДОУ № 89 Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, Лизы Чайкиной улица, дом 13/15",Коснарева Наталья Александровна,+7(812)230-53-33,Есть,+7(812)230-53-33,Gbdou89@mail.ru,Введенский,7813124943,1027806881277,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №90 Петроградского района Санкт-Петербурга,ГБДОУ № 90 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Профессора Попова улица, дом 31, литер А",Курилова Татьяна Сергеевна,+7(812)234-39-39,Есть,+7(812)234-39-39,Doo90petr@mail.ru,"Аптекарский остров, Чкаловское",7813125256,1027806880188,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №93 компенсирующего вида Петроградского района Санкт-Петербурга,ГБДОУ № 93 компенсирующего вида Петроградского района Санкт-Петербурга,"197198, Санкт-Петербург, Глухая Зеленина , д.6",Матвеева Наталья Германовна,+7(812)382-06-87,Есть,+7(812)382-06-87,Gdou93ps@mail.ru,Введенский,7813125263,1027806881937,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад №96 комбинированного вида Петроградского района Санкт-Петербурга,ГБДОУ № 96 комбинированного вида Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Петровский проспект, дом 12, литер А",Романова Елена Александровна,+7(812)235-47-54,Есть,+7(812)235-47-54,Gbdou96@mail.ru,Округ Петровский,7813124654,1027806881926,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 5 Петроградского района Санкт-Петербурга,ГБДОУ № 5 Петроградского района Санкт-Петербурга,"197110, Санкт-Петербург, Морской пр.д.26  Литера А",Соколова Наталья Александровна,+7(812)230-52-31,Есть,+7(812)230-52-31,Ds5m26@mail.ru,Чкаловское,7813264525,1167847433588,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад « Петровский»,ГБДОУ «Петровский» Петроградского района Санкт-Петербурга,"197110,Санкт-Петербург, Петровский, пр., д.24, корпус 4 , строение 1",Терехова Наталья Николаевна,+7(964)322-33-93,Есть,,Dsperovskiy@yandex.ru,Чкаловское,7813642230,1207800001870,
Петроградский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 3 Петроградского района Санкт-Петербурга,ГБДОУ № 3 Петроградского района Санкт-Петербурга,"197022, Санкт-Петербург, Академика Павлова улица, дом 8",Ковалева Татьяна Федоровна,+7(812)616-03-43,Есть,,3ds2015m@mail.ru,Аптекарский остров,7813216810,1157847090180,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 10 Василеостровского района Санкт-Петербурга,ГБДОУ №10,"г.Санкт-Петербург, Волховский переулок, дом 6, литера Г",Фурсова Елена Витальевна,328-39-19,Да,328-39-19,Vasdou010@yandex.ru,Муниципальное образование Муниципальный округ №7,1027800556860,7801136415,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №11 общеразвивающего вида Василеостровского района Санкт-Петербурга,ГБДОУ №11,"199178, Санкт-Петербург г, 12-я В.О. линия, д 21",Лимарева Мария Владимировна,321-90-13,Да,321-51-28,Vasdou011@yandex.ru,Муниципальное образование Муниципальный округ №7,1037800002217,7801136704,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №12 компенсирующего вида Василеостровского района Санкт-Петербурга,ГБДОУ №12,"г.Санкт-Петербург, Детская улица, дом 15, литера Б",Боровская Валентина Сергеевна,322-12-06,Нет,322-12-06,Vasdou012@yandex.ru,Муниципальное образование «Гавань»,1037800017640,7801136817,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №14 компенсирующего вида Василеостровского района Санкт-Петербурга,ГБДОУ №14,"г.Санкт-Петербург, Наличная улица, дом 40, корпус 6, литера А",Семенова Ирина Сергеевна,350-37-19,Нет,350-29-24,Vasdou014@mail.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1037800003878,7801136895,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №16 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №16,"г.Санкт-Петербург, улица Беринга, дом 22, корпус 2, литера Б",Бикаева Галия Ряшитовна,352-63-23,Нет,352-09-26,Vasdou016@yandex.ru,Муниципальное образование «Гавань»,1037800003053,7801136126,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №17 Василеостровского района Санкт-Петербурга,ГБДОУ №17,"г.Санкт-Петербург, Малый проспект В.О., дом 15, литера В",Колина Светлана Геннадьевна,323-52-22,Нет,323-52-22,Vasdou017@yandex.ru,Муниципальное образование муниципальный округ «Округ Васильевский»,1037800046833,7801136951,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №19 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №19,"г.Санкт-Петербург, улица Кораблестроителей, дом 19, корпус 3, литера А",Карпова Наталия Анатольевна,356-16-16,Да,356-16-16,Vasdou019@yandex.ru,Муниципальное образование муниципальный округ «Округ Морской»,1027800556904,7801137049,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №20 Василеостровского района Санкт-Петербурга,ГБДОУ №20,"г.Санкт-Петербург, Морская набережная, дом 35, корпус 3, литера А",Сладкова Людмила Юрьевна,352-81-97,Да,352-99-73,Vasdou020@yandex.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1037800076270,7801234557,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №22 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №22,"г.Санкт-Петербург, Наличная улица, дом 36, корпус 8, литера А",Кравцова Алеся Владимировна,356-38-52,Да,356-83-49,Vasdou022@mail.ru,Муниципальное образование муниципальный округ «Округ Морской»,1027800550623,7801136824,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 23 Василеостровского района Санкт-Петербурга,ГБДОУ №23,"г.Санкт-Петербург, Морская набережная, дом 37, корпус 2, литера А",Данилова Татьяна Владимировна,352-83-62,Да,352-83-62,Vasdou023@yandex.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1067847247115,7801399534,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №24 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №24,"г.Санкт-Петербург, улица Кораблестроителей, дом 29, корпус 3, литера А",Моисеева Александра Евграфовна,352-57-48,Да,352-57-48,Sad24@voportal.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1037800053345,7801136493,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 26 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №26,"г.Санкт-Петербург, улица Кораблестроителей, дом 37, корпус 2, литера А",Захарова Надежда Ивановна,350-28-58,Да,350-28-58,Sad26@voportal.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1027800556893,7801136670,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №28 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №28,"г.Санкт-Петербург, Наличная улица, дом 40, корпус 3, литера А",Сутормина Ольга Владимировна,350-19-30,Да,350-19-30,Vasdou28@yandex.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1027800550865,7801136542,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №29 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №29,"г.Санкт-Петербург, улица Кораблестроителей, дом 22, корпус 3, литера А",Сидорова Ирина Ивановна,352-44-42,Да,352-44-42,Vasdou029@yandex.ru,Муниципальное образование муниципальный округ «Округ Морской»,1037800003075,7801137151,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №3 «Андрейка» Василеостровского района Санкт-Петербурга,ГБДОУ №3,"Санкт-Петербург, 7-я линия В.О., д 20, литера А",Федулова Ольга Петровна,323-68-28,Нет,323-68-28,Vasdou003@mail.ru,Муниципальное образование Муниципальный округ №7,1027800550634,7801136743,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 30 Василеостровского района Санкт-Петербурга,ГБДОУ №30,"г.Санкт-Петербург, Мичманская улица, дом 2, корпус 2, литера А",Скорикова Маргарита Викторовна,352-58-72,Да,352-58-72,Vasdou030@gmail.com,Муниципальное образование муниципальный округ «Округ Морской»,1037800018772,7801137070,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №31 Василеостровского района Санкт-Петербурга,ГБДОУ №31,"г.Санкт-Петербург, 7-я линия В.О., дом 6, литера А",Ершова Анна Михайловна,323-14-19,Да,323-14-19,Vasdou031@gmail.com,Муниципальное образование Муниципальный округ №7,1037800017540,7801137419,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 32 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №32,"г.Санкт-Петербург, Морская набережная, дом 43, корпус 2, литера А",Шелехова Светлана Юрьевна,352-89-50,Да,352-87-95,Sad32@voportal.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1037800018740,7801136831,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №33 Василеостровского района Санкт - Петербурга,ГБДОУ №33,"г.Санкт-Петербург, улица Кораблестроителей, дом 30, литера А",Алафишвили Лариса Владимировна,305-63-61,Нет,305-63-61,Vasdou033@yandex.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1089847041680,7801460073,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №34 Василеостровского района Санкт-Петербурга,ГБДОУ №34,"г.Санкт-Петербург, 23-я линия В.О., дом 22-24, литера А",Горохова Светлана Сергеевна,321-36-76,Нет,321-36-76,Vasdou034@gmail.com,Муниципальное образование Муниципальный округ №7,1037800013393,7801137296,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №35 Василеостровского района Санкт-Петербурга,ГБДОУ №35,"г.Санкт-Петербург, 14-я линия В.О., дом 65а, литера А",Дмитрик Наталья Владиславовна,323-01-45,Да,327-78-62,Vasdou035@yandex.ru,Муниципальное образование муниципальный округ «Округ Васильевский»,1027800560370,7801136912,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 37 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №37,"г.Санкт-Петербург, набережная Макарова, дом 20/17, литера А",Обухова Наталья Валерьевна,323-21-39,Да,323-21-39,Vasdou37@yandex.ru,Муниципальное образование муниципальный округ «Округ Васильевский»,1027800546840,7801139399,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 38 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №38,"г.Санкт-Петербург, улица Кораблестроителей, дом 35, корпус 3, литера А",Мелешкина Тамара Викторовна,351-21-11,Да,351-21-10,Vasdou038@mail.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1027800542153,7801136119,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №39 Василеостровского района Санкт-Петербурга,ГБДОУ №39,"г.Санкт-Петербург, Гаванская улица, дом 37, литера А",Панина Лариса Геннадьевна,356-94-88,Да,356-94-88,Dou039vo@yandex.ru,Муниципальное образование «Гавань»,1037800007904,7801136479,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №4 общеразвивающего вида Василеостровского района Санкт-Петербурга,ГБДОУ №4,"г.Санкт-Петербург, Железноводская улица, дом 50, литера А",Коновалова Юлия Вячеславовна,350-26-66,Да,350-56-75,Vasdou004@yandex.ru,Муниципальное образование муниципальный округ «Остров Декабристов»,1037800010192,7801136341,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №43 Василеостровского района Санкт-Петербурга,ГБДОУ №43,"г.Санкт-Петербург, 20-я линия В.О., дом 19а, литера А",Духненко Виктория Игоревна,321-47-52,Да,321-47-52,Detsad043vo@yandex.ru,Муниципальное образование Муниципальный округ №7,1037800020829,7801136648,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №44 Василеостровского района Санкт-Петербурга,ГБДОУ №44,"г.Санкт-Петербург, Наличная улица, дом 32, корпус 3, литера А",Кондрашенко Елена Владимировна,355-06-57,Да,355-06-57,Vasdou44@mail.ru,Муниципальное образование муниципальный округ «Округ Морской»,1087847026190,7801486561,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение центр развития ребенка - детский сад № 45 Василеостровского района Санкт-Петербурга,ГБДОУ №45,"г.Санкт-Петербург, Большой проспект В.О., дом 48/12, литера А",Орлова Оксана Викторовна,321-37-75,Да,321-37-75,Gdou45@gmail.com,Муниципальное образование Муниципальный округ №7,1027800537720,7801136260,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 5 общеразвивающего вида Василеостровского района Санкт-Петербурга,ГБДОУ №5,"г.Санкт-Петербург, Гаванская улица, дом 56, литера А",Павловская Людмила Петровна,352-55-82,Да,352-55-82,Vasdou005@yandex.ru,Муниципальное образование «Гавань»,1037800017826,7801136461,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад №50 Василеостровского района Санкт-Петербурга,ГБДОУ №50,"г.Санкт-Петербург, Наличная улица, дом 21, литера А",Мисник Марина Александровна,355-45-23,Да,355-45-23,Vasdou050@yandex.ru,Муниципальное образование «Гавань»,1027800550425,7801136398,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 51 комбинированного вида Василеостровского района Санкт - Петербурга,ГБДОУ №51,"г.Санкт-Петербург, улица Кораблестроителей, дом 23, корпус 3, литера А",Куранда Юлия Борисовна,352-13-83,Нет,352-18-95,Vasdou051@mail.ru,Муниципальное образование муниципальный округ «Округ Морской»,1027800543770,7801136503,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 6 комбинированного вида Василеостровского района Санкт-Петербурга,ГБДОУ №6,"г.Санкт-Петербург, 8-я линия В.О., дом 19, литера А",Румянцева Юлия Валерьевна,323-39-51,Да,323-39-51,Vasdou06@yandex.ru,Муниципальное образование Муниципальный округ №7,1037800017529,7801137137,
Василеостровский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 73 «Василек» Василеостровского района Санкт-Петербурга,ГБДОУ №73,"г.Санкт-Петербург, Карташихина улица, дом 7, литера А",Быкова Татьяна Николаевна,322-20-01,Нет,322-20-01,Vasdou73@yandex.ru,Муниципальное образование «Гавань»,1037800053026,7801137063,
